year,month,x_hk,container_hk,transit_pa_canal,transit_suez_canal,air_freight_mem,container_exports_la,container_total_la,x_servs_world
2002,1,106563,1425,1049,,,187427.2,408236.45,
2002,2,95281,1148,941,,,190840.95,435007.7,
2002,3,124033,1496,1113,,,206612,436565.7,
2002,4,123118,1604,1077,,,216926.5,484299.25,
2002,5,125873,1539,1033,,,246829.7,531214.2,
2002,6,124875,1612,960,,,235014.55,536461.5,
2002,7,146415,1711,964,,,223758.35,495690.45,
2002,8,141221,1715,953,,,265804.55,605493.8,
2002,9,148033,1827,891,,,258275.7,589242.15,
2002,10,150530,1694,917,,,205753.25,470970.6,
2002,11,141031,1648,926,,,244647.4,545979.5,
2002,12,135324,1727,1045,,,260603.3,566701.85,
2003,1,135028,1709,1045,,,242056.85,518538.4,
2003,2,105148,1261,957,,,266399.3,541138.8,
2003,3,143087,1724,1085,,,265076.25,563571.25,
2003,4,134146,1769,1032,,,262326.75,589034.8,
2003,5,143022,1661,1011,,,303631.2,651906.25,
2003,6,142343,1660,950,,,257894.35,563786.2,
2003,7,157574,1686,955,,,283974,615714.3,
2003,8,151171,1791,939,,,290924.3,650969.4,
2003,9,157518,1814,860,,,272253.6,622729.2,
2003,10,164753,1773,958,,,298995.8,671106.85,
2003,11,153774,1755,996,,,289408.85,627787.05,
2003,12,156713,1847,1053,,,255674.15,562657.6,
2004,1,135312,1723,1092,,,270675.4,616086.95,
2004,2,134794,1541,1065,,,234664.4,482373.7,
2004,3,162918,1939,1180,,,270868.35,611616.35,
2004,4,159979,1744,1136,,,271558.9,616897.05,
2004,5,165431,1833,1113,,,293711.15,660839.15,
2004,6,168272,1826,1068,,,265025.05,612080.8,
2004,7,183626,1863,1022,,,310499.15,676399.45,
2004,8,182745,1998,1020,,,283280.2,627388.8,
2004,9,179664,1923,967,,,268435.1,592780.8,
2004,10,191232,1938,1050,,,290218.05,642935.9,
2004,11,179659,1901,1021,,,290342.45,630392.85,
2004,12,176923,1756,1053,,,268381.1,551648.3,
2005,1,182448,1896,1095,,,285076.2,590178.4,
2005,2,127527,1428,1012,,,260442.6,554465.05,
2005,3,168681,1809,1220,,,262846.35,525019.4,622389.8528
2005,4,172489,1838,1174,,,300885.85,636972.75,
2005,5,193374,1797,1132,,,291151.5,610623.9,
2005,6,189479,1941,1030,,,293466.5,634048.45,657077.5789
2005,7,198436,2001,1020,,,291663.7,648379.65,
2005,8,205937,1927,1061,,,301899.95,651554.45,
2005,9,210165,2083,939,,,306582.85,663495.25,707229.7608
2005,10,213504,2040,982,,,332689.25,707740.1,
2005,11,200351,1937,995,,,308821.4,640857.95,
2005,12,188771,1903,1066,,,293045,621289.1,671212.8075
2006,1,190020,1880,1138,,618666231,293266.25,620275.35,
2006,2,153618,1444,1040,,611582658,229003.1,480814.95,
2006,3,193465,2052,1221,,703414523,325548.75,670949.8,668275.6776
2006,4,188784,2002,1144,,658096634,303223,673393.6,
2006,5,193247,2159,1122,,666290822,327089.75,695953.3,
2006,6,202177,1732,1066,,691591467,338914.65,726871.5,735611.4126
2006,7,219571,2119,1067,,640954040,347969.1,761326.35,
2006,8,226244,1984,1067,,722876467,376722.25,790726.55,
2006,9,220090,1979,1009,,691996499,360321.75,791604.65,795420.543
2006,10,230386,2028,1091,,695837456,378370.15,800063.85,
2006,11,228876,2018,1121.5,,696941324,355404.6,745613.1,
2006,12,214686,2141,1152,,711732577,346669.25,712260,798272.3668
2007,1,207414,1982,1200,67381,670749623,324506.35,691602,
2007,2,171389,1583,1096,63366,652813321,290642.25,649243,
2007,3,206836,1827,1244,66773,744893265,306467.05,629939.15,784375.8465
2007,4,212605,2015,1142,66815,649761313,304145.75,679657.25,
2007,5,216591,2067,1157,70955,726177221,312670.25,681544.55,
2007,6,224672,2030,1033,67448,733871480,322983.65,716170.75,869187.6498
2007,7,238526,2094,1081,74392,684711693,328746.15,716319.4,
2007,8,243152,2021,1085,72710,756646800,335683.1,714710.2,
2007,9,238691,2109,1021,73041,701223948,334648.75,742563.5,954410.5691
2007,10,253018,2060,1102,75239,734262577,341598.3,735546.25,
2007,11,244005,2078,1043,72647,706280597,353099.4,736340.15,
2007,12,232256,2132,1124,77396,698159086,315261.85,661402.3,975455.9347
2008,1,240096,2110,1171,73778,699183558,305094.25,652236.2,
2008,2,184390,1644,1069,72878,670604530,290747.15,613725.7,
2008,3,222532,2003,1213,72600,686771459,282634.7,583923,960554.1038
2008,4,243401,2099,1174,73096,693912152,273625.7,605466.35,
2008,5,238942,2038,1162,76682,686272556,310060.85,686847.8,
2008,6,223223,2122,1048,76312,638655349,285488.55,632280.1,1045079.415
2008,7,265104,2258,1106,79359,672559758,321213.45,698159.3,
2008,8,247873,2168,1079,84065,686869185,348832.55,757068.85,
2008,9,247209,2258,1004,79603,654594113,319538.65,692889.9,1080030.139
2008,10,276913,2124,1083,81152,720244757,329035.3,706308.25,
2008,11,231153,1882,1026,73599,638680569,314281.65,660046.5,
2008,12,205816,1787,1124,66935,693703385,258273.05,561033.25,939486.3427
2009,1,187768,1612,1146,57217,659514240,266625.1,587004.2,
2009,2,141938,1345,1059,53086,610087720,205731.8,413910.3,
2009,3,175472,1672,1201,57248,659530699,244793.9,526487.05,807627.5081
2009,4,199043,1725,1115,60722,659770869,250449.9,532124.15,
2009,5,204375,1767,1050,58883,655481699,268663.05,574827.8,
2009,6,211136,1729,1050,59533,648004095,267696.9,551679.7,871053.5529
2009,7,212279,1875,1052,64857,681107990,268295.5,576203.25,
2009,8,213301,1900,1072,62573,664008386,285675.75,612581.5,
2009,9,225898,1849,990,64392,701377120,270270.05,583557,954848.0605
2009,10,240755,1848,1108,66811,756625984,305011.1,647423.7,
2009,11,234095,1821,1077,61611,669807189,276711.4,580206.15,
2009,12,224822,1898,1094,67520,781482762,273978.9,562989.75,965940.8785
2010,1,222279,1990,1113,66440,698415372,270276.25,572969.15,
2010,2,182455,1533,1010,58736,661378907,250518.8,525458.6,
2010,3,231755,1909,1141,67528,738819840,268501,550249.8,903737.6576
2010,4,242231,1952,1046,65744,713324755,283940.65,595283.7,
2010,5,254234,1968,1069,71089,719581748,337683.35,689420.7,
2010,6,267561,2057,971,70233,710284137,351350.8,730317.85,948712.0822
2010,7,261798,2071,1032,71868,738375634,354944.7,730745.6,
2010,8,290121,2096,1021,78314,713471909,357145.8,763837.2,
2010,9,280230,2057,1004,72810,718567323,331828.55,711613,1019422.376
2010,10,274169,1912,1127,74601,748325652,324143.85,682384.5,
2010,11,273043,2091,1114,72463,685749457,322646.05,666970.5,
2010,12,253003,2062,1085,76563,789581031,299791,612651.7,1049437.885
2011,1,283683,2097,1174,75501,668198381,305398.55,660517.8,
2011,2,227842,1529,1110,69088,665856867,265749.75,554912.8,
2011,3,281487,1840,1223,73268,772377895,287993.15,600796,1015075.022
2011,4,252042,2206,1141,76414,720285518,290426.15,617272.5,
2011,5,279944,2119,1107,77430,680935785,317805.9,692933.7,
2011,6,292216,2067,979,78511,725063058,291371.3,640794.6,1103226.067
2011,7,286152,2228,1026,78830,697763655,313026,688325.55,
2011,8,309888,2143,971,83072,722659082,332293.05,723170.55,
2011,9,271799,1993,987,77459,714662789,322188.95,705623.85,1173478.481
2011,10,305685,2098,1097,80421,737399852,332148.35,712586.2,
2011,11,278563,1955,1056,78081,736056355,325770.25,694108.7,
2011,12,271783,2109,1164,80805,793660471,316034.45,649468.7,1119500.43
2012,1,,2000,1195,81511,686976502,332891,698715.1,
2012,2,,1639,1072,70035,701201101,262194.65,525653.45,
2012,3,,2057,1066,76671,787598999,311710.25,650452.25,1067570.239
2012,4,,1976,1054,76751,690889219,333146.5,707182.2,
2012,5,,2056,1034,78246,753208260,351778.4,731352.9,
2012,6,,1886,1013,76665,747031823,333244.5,696847.95,1127404.872
2012,7,,2008,1054,78344,698686939,345454.75,726375.25,
2012,8,,1974,1036,82204,762736046,335078.8,706669.8,
2012,9,,1907,1028,78556,728151610,350977.05,744923.15,1173000.852
2012,10,,1852,1071,78329,761995377,344021.05,718406.35,
2012,11,,1900,1031,74149,763669240,284221.5,582981.7,
2012,12,,1862,1063,76991,771782285,283182.5,588154.2,1172214.037
2013,1,,2056,1053,73023,770221203,319858.75,669000.3,
2013,2,,1382,964,67635,694288801,289453.5,614958.75,
2013,3,,1830,1039,75297,776751232,260620.5,503168,1127699.148
2013,4,,1778,984,75289,720698949,305297.25,640330.2,
2013,5,,1866,983,79695,761214761,298720.25,636851.6,
2013,6,,1824,904,72368,753757994,308014,646650.5,1190153.415
2013,7,,1947,961,76924,740467053,332857.25,715640.25,
2013,8,,1933,990,80798,794770518,340978,709675.75,
2013,9,,1927,997,77599,722620424,328218.5,710892.25,1261910.222
2013,10,,1849,989,81818,819650794,321755,684207.1,
2013,11,,1899,1034,77813,770548899,331856.75,683849,
2013,12,,2061,1107,77209,791520867,320237,653358.35,1261047.215
2014,1,,1943,1058,76663,800385129,313816.5,685549.85,
2014,2,,1485,959,69462,727113277,263249.25,559786.35,
2014,3,,1884,1071,76412,799822883,332388.25,675274.1,1229296.576
2014,4,,1926,977,77155,788027397,327992.75,706036.8,
2014,5,,1989,978,81980,787813110,321131.5,689141.65,
2014,6,,1972,888,77390,744353441,340346,736438.8,1297382.515
2014,7,,1934,950,82609,783006733,337214.75,717407,
2014,8,,1924,933,89145,783921063,354699.25,757702.45,
2014,9,,1794,1012,83754,755390428,350911.5,775132.7,1363055.031
2014,10,,1826,1063,85842,837932617,334124.25,715682.9,
2014,11,,1777,1016,80962,767742073,320109,663345.6,
2014,12,,1772,1069,81374,800631560,314168.5,658567.45,1305555.879
2015,1,,1821,1041,82537,801726690,261483.5,529427.2,
2015,2,,1444,978,73020,742601432,242707.25,502663.3,
2015,3,,1656,1083,82528,784094800,352654.25,791863.6,1163976.176
2015,4,,1739,1049,81586,800014200,323379.5,662973.25,
2015,5,,1808,1045,85842,784559461,335105.75,694791.05,
2015,6,,1765,990,82843,764394096,344022,721802.6,1267052.698
2015,7,,1841,1026,85514,802865037,337126,699127.95,
2015,8,,1706,1042,89053,773161988,369349,786667.8,
2015,9,,1634,981,86620,798683573,346343.5,730306.9,1276133.116
2015,10,,1482,1047,85073,842835961,332173.25,704588.9,
2015,11,,1600,1026,80291,760852913,341254.15,709968.7,
2015,12,,1577,1029,83746,802292580,295229.75,626276.65,1255428.01
2016,1,,1673,1052,80613,781588845,329182.75,704398.45,
2016,2,,1140,977,77716,742301912,330352.75,713721,
2016,3,,1511,1037,80496,861746023,316013.5,612863.2,1169456.16
2016,4,,1581,949,75887,817424600,301973.5,656177.05,
2016,5,,1631,926,82060,766137096,358700.25,770409.3,
2016,6,,1659,843,80030,806464628,310829.75,676006.9,1252424.157
2016,7,,1628,946,84740,763486025,308438.2,687891.8,
2016,8,,1792,908,87844,790075291,375742.5,798932.75,
2016,9,,1712,945,81732,791908818,347729.15,747707.4,1303649.593
2016,10,,1687,973,81960,785311527,386377.65,814574.5,
2016,11,,1814,969,77836,779598211,429252.85,877564.2,
2016,12,,1983,1043,83271,823865275,391655.6,796536.25,1305680.091
2017,1,,1661,1111,78673,758941117,398242.25,826639.55,
2017,2,,1487,983,75303,730561950,316799.4,625381.15,
2017,3,,1730,1071,84679,864469596,402886.75,788523.7,1227464.658
2017,4,,1799,1016,86170,775483250,333238.4,714755.05,
2017,5,,1824,990,88265,776313403,371714.75,796216.7,
2017,6,,1750,889,84634,807353714,348248.75,731032.35,1343680.803
2017,7,,1782,1017,87969,741951893,369126.05,796804,
2017,8,,1718,974,91549,827262050,404818.25,847857.05,
2017,9,,1806,964,87926,787070546,365418.25,763784.5,1421206.635
2017,10,,1676,1055,93158,824173591,350803.5,748762.2,
2017,11,,1757,994,90990,819374526,448437.5,924225.75,
2017,12,,1780,1047,92260,828401231,381909.9,779210.95,1436937.905
2018,1,,1846,1050,87760,784276788,376599.75,808728.5,
2018,2,,1414,941,83486,753172224,332376.5,725059.45,
2018,3,,1628,1088,88938,877319654,304023.65,577865.9,1409712.996
2018,4,,1601,1014,92474,774741598,333009.65,705535.95,
2018,5,,1696,1069,99171,843682812,351431.75,768804.35,
2018,6,,1683,955,97157,828991712,329776,723141.15,1455009.482
2018,7,,1666,998,99739,779102686,378886.25,833567.85,
2018,8,,1616,1005,101241,862759944,385962,826638.4,
2018,9,,1487,992,93952,822558814,369953.75,801264.15,1493255.713
2018,10,,1646,1046,103009,875090466,448165.9,952553.75,
2018,11,,1639,977,96068,832802027,392364.75,832330.9,
2018,12,,1674,1014,96634,796523111,420904.9,903258.15,1487091.809
2019,1,,1695,1072,96250,841248868,406719,852449.5,
2019,2,,1162,962,88549,748734044,340756,705306.55,
2019,3,,1567,1067,97796,849439049,339923.25,650977.15,1409716.809
2019,4,,1574,1006,98341,789832572,358122.45,736465.95,
2019,5,,1572,1032,104914,836120121,388348.75,828662.15,
2019,6,,1527,975,98233,766520436,358953.25,764777.25,1479729.772
2019,7,,1549,1001,103574,765035601,424549.25,912154.15,
2019,8,,1584,1113,106000,802393709,411995,861080.8,
2019,9,,1484,1025,98974,727853980,365222,779902.75,1534123.025
2019,10,,1553,1137,108919,831758191,367763,770188.5,
2019,11,,1511,1136,101668,782372297,348480.25,728917.9,
2019,12,,1524,1143,103867,770542266,362955.5,746749.75,1531372.407
2020,1,,1425,1134,105737,752019735,380382.25,806143.75,
2020,2,,1192,1021,99902,730438819,265302.25,544037.3,
2020,3,,1551,,,790381118,217961,449568.3,
